p,e,len,size
0.2,15,12.0748,74.3781
0.2,16,9.0039,41.7087
0.21,0,11.2684,94.1599
0.21,1,11.4449,95.015
0.21,2,11.3638,95.0651
0.21,3,11.3851,94.03
0.21,4,11.4087,94.9466
0.21,5,11.2809,93.9899
0.21,6,11.4267,94.603
0.21,7,11.3993,93.6624
0.21,8,11.5261,94.776
0.21,9,11.3268,93.4587
0.21,10,11.4439,93.2467
0.21,11,11.4291,93.7269
0.21,12,11.6278,93.278
0.21,13,11.7176,91.9071
0.21,14,12.1752,91.6546
0.21,15,12.6074,87.5082
0.21,16,9.2028,46.947
0.22,0,11.3475,104.9321
0.22,1,11.3223,104.1965
0.22,2,11.2589,103.9261
0.22,3,11.3524,104.9825
0.22,4,11.2582,103.6356
0.22,5,11.4068,105.1021
0.22,6,11.3122,103.7986
0.22,7,11.3715,103.9037
0.22,8,11.3827,103.4104
0.22,9,11.5086,104.4294
0.22,10,11.5187,104.4797
0.22,11,11.5586,103.3741
0.22,12,11.5895,102.5778
0.22,13,11.8527,101.8738
0.22,14,12.2912,102.2137
0.22,15,12.6996,98.2171
0.22,16,9.3862,52.1233
0.23,0,11.2751,113.9975
0.23,1,11.2104,112.8664
0.23,2,11.1518,113.1042
0.23,3,11.2778,113.7592
0.23,4,11.3078,113.3015
0.23,5,11.1348,112.8045
0.23,6,11.3168,113.9954
0.23,7,11.2158,112.5115
0.23,8,11.3665,112.9551
0.23,9,11.2796,113.0792
0.23,10,11.3493,113.076
0.23,11,11.4973,113.6164
0.23,12,11.6115,112.8056
0.23,13,11.8817,112.5958
0.23,14,12.0995,111.2204
0.23,15,12.831,108.3596
0.23,16,9.4517,56.9654
0.24,0,11.1172,122.0844
0.24,1,11.0128,121.1723
0.24,2,11.0705,121.6163
0.24,3,11.0908,121.8959
0.24,4,11.0715,121.6843
0.24,5,11.0728,119.8289
0.24,6,11.089,120.9196
0.24,7,11.1601,121.6839
0.24,8,11.119,120.5298
0.24,9,11.23,122.541
0.24,10,11.2164,120.6835
0.24,11,11.3413,121.2751
0.24,12,11.5115,121.3811
0.24,13,11.6204,120.6007
0.24,14,11.9878,119.3652
0.24,15,12.8474,119.6972
0.24,16,9.3841,60.6187
0.25,0,10.9363,129.7298
0.25,1,10.9722,130.4754
0.25,2,10.9311,129.2549
0.25,3,10.8841,128.9477
0.25,4,10.9112,128.9614
0.25,5,10.9197,128.2473
0.25,6,10.8872,128.3819
0.25,7,10.9872,129.3229
0.25,8,10.9073,127.3036
