p,e,len,size
0.19,3.7,11.00545,72.1656
0.19,3.8,10.93185,71.03005
0.19,3.9,10.96965,71.59065
0.19,4,10.84965,70.76785
0.19,4.1,10.8961,71.2759
0.19,4.2,10.9575,71.6731
0.19,4.3,10.92075,71.1713
0.19,4.4,10.8824,71.16615
0.19,4.5,10.90835,71.4672
0.19,4.6,10.88235,71.15985
0.19,4.7,10.96505,71.5041
0.19,4.8,11.0168,71.89745
0.19,4.9,11.029,72.0531
0.19,5,10.93065,71.4412
0.19,5.1,10.92525,71.60565
0.19,5.2,10.9147,70.74285
0.19,5.3,10.90605,70.72265
0.19,5.4,10.99025,71.9865
0.19,5.5,10.94145,71.5728
0.19,5.6,10.93205,71.228
0.19,5.7,10.88255,70.7756
0.19,5.8,10.98075,71.1924
0.19,5.9,11.00835,71.9753
0.19,6,10.9665,71.418
0.19,6.1,10.8996,71.1125
0.19,6.2,10.94715,71.59445
0.19,6.3,10.9772,71.68355
0.19,6.4,10.93895,71.4658
0.19,6.5,10.84865,70.451
0.19,6.6,10.90405,70.87455
0.19,6.7,10.9717,71.569
0.19,6.8,10.85325,71.1725
0.19,6.9,10.89315,70.8886
0.19,7,10.9331,71.5132
0.19,7.1,10.9763,71.03285
0.19,7.2,10.9993,71.0646
0.19,7.3,10.9112,70.7499
0.19,7.4,10.8953,71.14845
0.19,7.5,10.96525,71.30295
0.19,7.6,10.84095,70.15685
0.19,7.7,10.9681,71.2744
0.19,7.8,10.9841,71.2528
0.19,7.9,11.0182,71.27535
0.19,8,10.84305,69.83945
0.19,8.1,11.01625,71.5282
0.19,8.2,10.8992,69.92685
0.19,8.3,11.06005,71.63905
0.19,8.4,10.8527,69.9389
0.19,8.5,10.97085,70.73715
0.19,8.6,10.8973,70.4591
0.19,8.7,11.0112,71.33875
0.19,8.8,10.94795,70.96025
0.19,8.9,11.01935,71.0563
0.19,9,10.98285,70.7037
0.19,9.1,10.95595,70.8471
0.19,9.2,10.90895,69.87825
0.19,9.3,10.89915,70.1983
0.19,9.4,11.08255,71.07015
0.19,9.5,10.87835,69.56685
0.19,9.6,10.89295,69.9469
0.19,9.7,11.00005,70.59315
0.19,9.8,10.8856,69.93705
0.19,9.9,10.97465,70.77765
0.19,10,10.9362,70.03275
0.19,10.1,11.0374,70.86195
0.19,10.2,10.9944,70.5826
0.19,10.3,10.98955,70.13405
0.19,10.4,10.88305,69.4774
0.19,10.5,11.02105,70.6077
0.19,10.6,11.1125,71.09625
0.19,10.7,11.013,70.3827
0.19,10.8,11.01815,69.4811
0.19,10.9,11.0224,69.98935
0.19,11,11.0149,70.3607
0.19,11.1,11.03975,70.8932
0.19,11.2,10.9564,69.2821
0.19,11.3,11.02975,69.7715
0.19,11.4,11.08875,70.27605
0.19,11.5,11.05025,69.5634
0.19,11.6,10.94625,69.38
0.19,11.7,10.9352,68.8107
0.19,11.8,11.0984,69.98365
0.19,11.9,11.12235,69.38285
0.19,12,11.07645,69.572
0.19,12.1,11.0139,68.7279
0.19,12.2,11.15855,69.2185
0.19,12.3,10.8831,67.65985
0.19,12.4,11.11345,69.0518
0.19,12.5,11.05705,68.71285
0.19,12.6,11.0201,68.35545
0.19,12.7,11.17335,68.7899
0.19,12.8,11.1716,68.7758
0.19,12.9,11.09255,68.18355
0.19,13,11.1865,68.3775
0.19,13.1,11.21465,68.4615
0.19,13.2,11.13745,68.1587
0.19,13.3,11.167,67.75025
0.19,13.4,11.14635,67.5229
0.19,13.5,11.2512,67.9287
0.19,13.6,11.2993,68.28895
0.19,13.7,11.29445,67.94135
0.19,13.8,11.27685,67.20495
0.19,13.9,11.2982,66.7189
0.19,14,11.17915,66.1751
0.19,14.1,11.218,65.33445
0.19,14.2,11.30935,66.07445
0.19,14.3,11.2724,65.41645
0.19,14.4,11.22115,64.53375
0.19,14.5,11.33805,64.86
0.19,14.6,11.25725,63.7694
0.19,14.7,11.259,63.22545
0.19,14.8,11.30005,62.7002
0.19,14.9,11.246,62.2263
0.19,15,11.18525,61.3077
0.19,15.1,11.2346,60.5888
0.19,15.2,11.09945,59.07765
0.19,15.3,10.86285,57.24965
0.19,15.4,10.84505,55.8031
0.19,15.5,10.54285,53.4873
0.19,15.51,10.6118,53.93345
0.19,15.52,10.77055,54.6688
0.19,15.53,10.47055,52.4532
0.19,15.54,10.5327,52.76545
0.19,15.55,10.44135,52.12035
0.19,15.56,10.43465,51.9892
0.19,15.57,10.39205,51.9365
0.19,15.58,10.4327,51.8091
0.19,15.59,10.32455,50.9422
0.19,15.6,10.41505,51.70635
0.19,15.61,10.32955,50.98395
0.19,15.62,10.37645,50.9261
0.19,15.63,10.34175,50.63005
0.19,15.64,10.2255,50.11655
0.19,15.65,10.1741,50.01535
0.19,15.66,10.2744,50.01355
0.19,15.67,10.14185,49.14885
0.19,15.68,10.12295,49.0419
0.19,15.69,10.0313,48.19985
0.19,15.7,10.01055,47.81145
0.19,15.71,10.0036,47.99865
0.19,15.72,9.99785,48.0714
0.19,15.73,9.89955,47.10575
0.19,15.74,9.86325,46.76475
0.19,15.75,9.968,47.2296
0.19,15.76,9.94585,46.8655
0.19,15.77,9.8608,46.40405
0.19,15.78,9.72595,45.77855
0.19,15.79,9.6534,45.08105
0.19,15.8,9.6337,45.0446
0.19,15.81,9.7414,45.6518
0.19,15.82,9.56105,43.95995
0.19,15.83,9.4524,43.4214
0.19,15.84,9.55365,43.40055
0.19,15.85,9.41985,42.86025
0.19,15.86,9.29115,41.79445
0.19,15.87,9.32715,42.05295
0.19,15.88,9.32865,41.9441
0.19,15.89,9.22585,41.22635
0.19,15.9,9.15295,40.61795
0.19,15.91,9.1936,40.7755
0.19,15.92,9.12325,40.3423
0.19,15.93,9.0412,39.72245
0.19,15.94,8.9436,38.60765
0.19,15.95,8.86105,38.42935
0.19,15.96,8.8114,38.1222
0.19,15.97,8.75725,37.5006
0.19,15.98,8.7031,37.1
0.19,15.99,8.58455,36.3797
0.19,16,8.588,36.20215
